    T[s],  F[MHz],   Ne[cm^-3], Rs[Rsun]
 815.412,  53.822,   8986601.5, 2.13
 841.219,  52.189,   8449665.0, 2.16
 872.760,  50.037,   7767154.1, 2.20
 908.602,  48.182,   7201847.6, 2.23
 937.276,  46.104,   6594058.8, 2.28
 968.817,  44.249,   6074028.1, 2.32
1001.792,  42.616,   5634067.1, 2.37
1049.104,  41.503,   5343576.1, 2.40
1107.885,  39.870,   4931429.8, 2.44
1155.197,  38.534,   4606520.6, 2.48
1201.075,  38.015,   4483157.0, 2.50
1262.724,  37.199,   4292682.6, 2.53
1320.072,  36.382,   4106342.9, 2.56
1388.889,  35.863,   3989915.8, 2.58
